Protein,INT_M.1,INT_M.2,POS_M.1,POS_M.2,pvalue,log2FC,imputed_log2FC,imputed_Pvalue,imputed_adjPvalue
Q8K341,11.60121366,13.14150049,12.39196851,12.77610399,0.746643807,-0.21267918,-0.21267918,0.746643807,0.997566344
Q8K3C3,16.46738584,16.61629622,15.88113102,15.77016883,0.285231166,0.716191104,0.716191104,0.285231166,0.996315489
Q61753,15.00655142,15.57654654,17.02187065,16.59438016,0.03969945,-1.516576424,-1.516576424,0.03969945,0.988262249
Q8K3K7,17.45476874,17.85557683,16.64551066,16.77112564,0.217469857,0.946854639,0.946854639,0.217469857,0.988262249
Q8K3K8,14.07765025,13.61723786,13.79543092,13.99656176,0.951716866,-0.048552281,-0.048552281,0.951716866,0.997566344
Q8K4G5,15.57814507,15.45206118,15.55098939,15.05279343,0.687588485,0.213211717,0.213211717,0.687588485,0.997566344
Q8K4I3,15.68101874,15.61594568,16.37554858,16.26839579,0.168987314,-0.673489975,-0.673489975,0.168987314,0.988262249
Q8K4Z5,16.98959152,16.68035824,16.24210714,15.96020264,0.251697468,0.733819996,0.733819996,0.251697468,0.990420869
Q8QZS1,18.40510581,18.7417863,18.21285806,17.57612202,0.28704949,0.678956011,0.678956011,0.28704949,0.996315489
Q8QZT1,17.56267011,17.99335859,15.6982186,15.56468215,0.075613603,2.146563971,2.146563971,0.075613603,0.988262249
Q8QZY1,16.00311996,16.13701054,15.30519981,15.57373292,0.46660947,0.630598885,0.630598885,0.46660947,0.997566344
Q8R001,13.69457554,14.00693964,15.01877963,14.94041644,0.189242166,-1.128840449,-1.128840449,0.189242166,0.988262249
Q8R050,16.24590546,16.04590894,15.77366607,15.68525728,0.46479521,0.41644553,0.41644553,0.46479521,0.997566344
Q8R050;Q149F3,16.68469384,16.50073298,16.91753525,16.2816403,0.990554835,-0.006874367,-0.006874367,0.990554835,0.997566344
Q8R081,14.97234739,14.90029717,15.16645371,14.97134851,0.855893424,-0.132578827,-0.132578827,0.855893424,0.997566344
Q8R0F6,16.59363914,16.16488729,15.01484867,15.03389614,0.220141358,1.354890813,1.354890813,0.220141358,0.988262249
Q8R0H9,16.79690148,16.824014,16.8754374,16.27574259,0.831402219,0.234867743,0.234867743,0.831402219,0.997566344
Q8R0W0;A0A2I3BRT4,13.85953479,14.38147536,14.77694701,14.67154107,0.205540256,-0.603738969,-0.603738969,0.205540256,0.988262249
Q8R0X7,15.50491207,15.57293703,15.53958293,15.64644621,0.93834925,-0.05409002,-0.05409002,0.93834925,0.997566344
Q8R0Y6,14.7255285,15.10279331,15.45904003,14.94792881,0.606113833,-0.289323513,-0.289323513,0.606113833,0.997566344
Q8R0Y8,16.33089382,16.743204,13.9365195,14.43162818,0.086154387,2.352975068,2.352975068,0.086154387,0.988262249
Q8R127,14.80831063,15.16812364,15.22723988,14.82997043,0.940371644,-0.040388018,-0.040388018,0.940371644,0.997566344
Q8R1A4,16.13728748,16.15743751,16.47362867,16.11211366,0.717730037,-0.145508671,-0.145508671,0.717730037,0.997566344
Q8R1A4;Q8C147,18.39540025,18.45197573,18.83105359,18.59269791,0.630963505,-0.288187763,-0.288187763,0.630963505,0.997566344
Q8R1B4,16.40656341,16.23774982,15.89533772,15.87886388,0.366411192,0.43505582,0.43505582,0.366411192,0.997566344
Q8R1I1,18.63314424,18.69288789,16.64835758,16.58773357,0.19278864,2.044970486,2.044970486,0.19278864,0.988262249
Q8R1Q8,14.50470752,14.45012208,14.9017023,15.04093613,0.437342893,-0.493904417,-0.493904417,0.437342893,0.997566344
P07724,14.40853265,15.02280521,16.69142413,15.82355637,0.010800687,-1.541821318,-1.541821318,0.010800687,0.988262249
Q8R1Z9,14.12509054,12.62200605,13.35383602,13.56403037,0.927883029,-0.085384903,-0.085384903,0.927883029,0.997566344
Q8R2H9,14.98317176,15.1313345,13.86911184,13.90914305,0.224844095,1.168125689,1.168125689,0.224844095,0.988262249
