"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990777","GO:1990777","lipoprotein particle","1/282","73/31010",0.487095821635002,0.755774527242721,0.626633530157988,"P06728",1
"GO:1903561","GO:1903561","extracellular vesicle","2/282","181/31010",0.491325709985663,0.755774527242721,0.626633530157988,"P14142/P63038",2
"GO:0031672","GO:0031672","A band","1/282","74/31010",0.491771096493551,0.755774527242721,0.626633530157988,"Q8C8R3",1
"GO:1902911","GO:1902911","protein kinase complex","2/282","184/31010",0.499995856030349,0.764391570475716,0.633778158649657,"Q8BRK8/Q9R078",2
"GO:0071005","GO:0071005","U2-type precatalytic spliceosome","1/282","80/31010",0.518944275817864,0.781736271364241,0.648159129105175,"Q8K4Z5",1
"GO:0001772","GO:0001772","immunological synapse","1/282","81/31010",0.523330234893821,0.781736271364241,0.648159129105175,"Q811D0",1
"GO:0005681","GO:0005681","spliceosomal complex","3/282","305/31010",0.525995510752994,0.781736271364241,0.648159129105175,"E9PV04/Q8K4Z5/Q91VC3",3
"GO:0030119","GO:0030119","AP-type membrane coat adaptor complex","1/282","82/31010",0.527676346108537,0.781736271364241,0.648159129105175,"Q9D2N9",1
"GO:0032994","GO:0032994","protein-lipid complex","1/282","82/31010",0.527676346108537,0.781736271364241,0.648159129105175,"P06728",1
"GO:0071011","GO:0071011","precatalytic spliceosome","1/282","82/31010",0.527676346108537,0.781736271364241,0.648159129105175,"Q8K4Z5",1
"GO:0042641","GO:0042641","actomyosin","2/282","198/31010",0.539181495307635,0.781736271364241,0.648159129105175,"Q80UG5/Q9JMH9",2
"GO:0097386","GO:0097386","glial cell projection","1/282","85/31010",0.540479183882703,0.781736271364241,0.648159129105175,"P10637",1
"GO:0043197","GO:0043197","dendritic spine","4/282","426/31010",0.543544155477524,0.781736271364241,0.648159129105175,"A2A5R2/P23819/Q9QYC0/Q9Z2W8",4
