"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005884","GO:0005884","actin filament","1/93","262/31010",0.546274344298697,0.615152864189261,0.438786322794279,"Q99MS7",1
"GO:0097729","GO:0097729","9+2 motile cilium","1/93","264/31010",0.549014903464998,0.615152864189261,0.438786322794279,"P17710",1
"GO:0030863","GO:0030863","cortical cytoskeleton","1/93","266/31010",0.551739086243087,0.615152864189261,0.438786322794279,"P48193",1
"GO:0030176","GO:0030176","integral component of endoplasmic reticulum membrane","1/93","267/31010",0.55309506675894,0.615152864189261,0.438786322794279,"P70302",1
"GO:0042734","GO:0042734","presynaptic membrane","1/93","268/31010",0.554446989433742,0.615152864189261,0.438786322794279,"Q811D0",1
"GO:0031227","GO:0031227","intrinsic component of endoplasmic reticulum membrane","1/93","275/31010",0.563797833172129,0.620994714798287,0.442953293796562,"P70302",1
"GO:0030018","GO:0030018","Z disc","1/93","286/31010",0.578101231278641,0.627319058814141,0.447464425608425,"Q8C8R3",1
"GO:0072686","GO:0072686","mitotic spindle","1/93","286/31010",0.578101231278641,0.627319058814141,0.447464425608425,"P48193",1
"GO:0055037","GO:0055037","recycling endosome","1/93","289/31010",0.581920969031539,0.627319058814141,0.447464425608425,"A2A5R2",1
"GO:0097730","GO:0097730","non-motile cilium","1/93","307/31010",0.604131416101435,0.646675882024071,0.461271577898056,"Q80UG5",1
"GO:0031674","GO:0031674","I band","1/93","311/31010",0.608906275199226,0.647229047764212,0.461666149028489,"Q8C8R3",1
"GO:0031256","GO:0031256","leading edge membrane","1/93","343/31010",0.645109353129563,0.680948761636761,0.485718299505446,"P10637",1
"GO:0000228","GO:0000228","nuclear chromosome","1/93","375/31010",0.67799386178885,0.710724599944174,0.506957297744113,"Q6PB66",1
"GO:0031514","GO:0031514","motile cilium","1/93","382/31010",0.684775212323146,0.712916659404919,0.50852088586362,"P17710",1
"GO:0000139","GO:0000139","Golgi membrane","1/93","409/31010",0.709633898892917,0.733771106338254,0.523396287762051,"A2A5R2",1
"GO:0098858","GO:0098858","actin-based cell projection","1/93","425/31010",0.723439201034779,0.742991611873557,0.529973241156346,"Q811D0",1
"GO:0030017","GO:0030017","sarcomere","1/93","441/31010",0.736594861669086,0.748844926658429,0.534148389513976,"Q8C8R3",1
"GO:0005802","GO:0005802","trans-Golgi network","1/93","444/31010",0.738991703939239,0.748844926658429,0.534148389513976,"A2A5R2",1
"GO:0000793","GO:0000793","condensed chromosome","1/93","459/31010",0.750656069964818,0.75562730221624,0.538986233575296,"Q6PB66",1
"GO:0030016","GO:0030016","myofibril","1/93","494/31010",0.775905457758629,0.775905457758629,0.553450568899853,"Q8C8R3",1
