"","UNIPROT","SYMBOL","X.1","NegControl.1","NegControl.2","INT.1","INT.2","INT.3","INT.4","POS.1","POS.2","POS.3","POS.4","pvalue","imputed_log2FC","imputed_Pvalue","imputed_adjPvalue","X","log10pvalue","diffexpressed","unpacked"
"133","E9PX29","Sptbn4",695,13.42914517,13.47459321,16.95889251,17.43810958,17.46515185,17.84248539,15.81343049,17.33551248,18.183015,17.24051186,0.577645866,-0.283042375,0.577645866,0.761426975,NA,2.38338330397088,"NS","E9PX29"
"134","E9PXC0","Srp54c",318,12.01655045,12.18486849,14.8704716,16.20350479,15.17677865,15.01986887,14.45205538,16.28705699,15.55931399,15.32162297,0.851313931,0.087356356,0.851313931,0.918288356,NA,0.699102597041583,"NS","E9PXC0"
"135","E9PY39",NA,388,14.86541008,14.573397,15.82119261,16.17362651,15.88255108,16.12148958,15.27183947,16.36215902,16.02233776,16.26881045,0.943008975,-0.018428274,0.943008975,0.965517984,NA,0.254841738857611,"NS","E9PY39"
"136","E9PYG6","Rasa1",755,10.72391687,9.177247,12.77885742,13.2911707,12.75730666,13.02124027,12.13686298,13.13522831,12.62962983,12.6308359,0.217875782,-0.329004507,0.217875782,0.458834011,NA,6.61791041108914,"NS","E9PYG6"
"137","E9PYK3","Parp4",312,12.29528107,11.09513325,14.23054588,14.27496047,14.17102038,14.14394118,13.88302507,14.50928017,14.31288296,14.48350091,0.738381282,0.092055296,0.738381282,0.858460406,NA,1.31719321228011,"NS","E9PYK3"
"138","E9PYL9",NA,175,14.73444502,15.07589692,15.86672353,15.31797782,15.65988443,16.02846728,15.94825315,16.90289323,16.62185156,14.78350986,0.47988889,0.345863683,0.47988889,0.698089989,NA,3.18859304386282,"NS","E9PYL9"
"142","E9PZB3",NA,561,16.28124183,16.62428142,17.52970506,17.06917701,17.47452984,17.0127991,16.72773436,17.38978256,16.91636934,17.36768776,0.436555052,-0.171159247,0.436555052,0.661196903,NA,3.59960981575273,"NS","E9PZB3"
"143","E9PZF0",NA,1182,14.82152488,15.09852562,16.85829674,17.02345116,16.86520163,16.95571801,15.45917544,16.62998265,16.32367053,16.42739469,0.02325662,-0.715611058,0.02325662,0.156951638,NA,16.334534031937,"NS","E9PZF0"
"147","E9Q035",NA,504,11.80315371,12.1447206,14.50851075,15.38472533,14.61186949,14.73937587,13.64957215,15.3064787,15.1654354,14.63481238,0.767917868,-0.122045705,0.767917868,0.872877353,NA,1.14685227080231,"NS","E9Q035"
"148","E9Q0S6","Tns1",716,13.24373862,12.88586738,15.53093472,16.41868127,15.72393109,15.7993437,14.41865415,15.83391974,16.08418225,15.94035585,0.485061303,-0.298944698,0.485061303,0.700309942,NA,3.14203370939624,"NS","E9Q0S6"
"149","E9Q238","Kank1",237,11.70951466,9.177247,14.57866752,15.22972009,14.23959853,15.11569395,13.79786414,15.44850352,15.3392585,15.36454508,0.684059202,0.196622784,0.684059202,0.824716346,NA,1.64906310576229,"NS","E9Q238"
"150","E9Q295","Gm973",710,11.76188361,12.74750069,15.34647911,15.50025059,15.34103228,15.23948665,14.23406895,15.66744423,15.35552316,14.98584194,0.418914345,-0.296092589,0.418914345,0.646619681,NA,3.77874767717858,"NS","E9Q295"
"151","E9Q3H6","Coq10a",1616,11.17167721,13.19607954,14.03032228,15.26238852,14.67237009,14.95060146,11.11341661,12.77762519,11.92625893,12.73072486,0.002937512,-2.591914193,0.002937512,0.131329092,NA,25.3202035058467,"INT","E9Q3H6"
"155","E9Q3L2","Pi4ka",276,9.532787423,9.415900438,12.10882479,13.13011698,11.94706714,12.0694095,11.19685503,12.83870101,12.87479052,12.92754277,0.763732672,0.145617728,0.763732672,0.871157632,NA,1.17058630157118,"NS","E9Q3L2"
"156","E9Q4Z2","Acacb",1404,14.91970728,16.5779771,16.70796438,17.48064712,17.35011003,17.63328907,15.39209303,16.78758136,16.03073956,16.02373904,0.02906646,-1.2344644,0.02906646,0.171660614,NA,15.3660785767168,"INT","E9Q4Z2"
"157","E9Q512","Trip11",941,10.65648004,11.2250012,14.44983286,15.09296433,14.87310092,14.9279151,13.55809935,14.68228198,14.68461086,14.5026276,0.154219166,-0.479048352,0.154219166,0.379713154,NA,8.11861649820766,"NS","E9Q512"
"158","E9Q555",NA,140,13.14985824,11.94569987,15.68723898,15.68535108,15.43892177,15.56789667,15.4776318,16.39618665,16.18777733,16.13268046,0.171203838,0.453716935,0.171203838,0.403852757,NA,7.6648650365689,"NS","E9Q555"
"159","E9Q5N9","Zfp395",1212,14.77056066,18.71903447,17.15481811,17.06497427,17.97292371,17.60037755,16.61266696,17.41170958,16.76939881,15.98566408,0.387382164,-0.753413553,0.387382164,0.622110845,NA,4.11860379111747,"NS","E9Q5N9"
"160","E9Q616","Ahnak",165,13.30413312,13.28960933,16.76079266,16.86860619,17.5621869,17.95154133,16.33422478,17.39435661,18.51706265,18.41756045,0.505509052,0.380019352,0.505509052,0.714639856,NA,2.96271063221443,"NS","E9Q616"
"161","E9Q6E5","Srsf11",623,11.93807256,11.8046554,15.49003606,15.2772874,15.7389103,15.36077851,14.64565843,15.62716336,15.37592183,15.3421094,0.347484562,-0.219039812,0.347484562,0.589999829,NA,4.59064485425366,"NS","E9Q6E5"
"162","E9Q6P5","Ttc7b",470,12.01993816,11.62621096,14.98472996,15.96812676,14.94516946,15.46515185,14.12791374,15.94713465,15.62764787,15.26535866,0.827115979,-0.098780782,0.827115979,0.904224712,NA,0.824335889865659,"NS","E9Q6P5"
"163","E9Q6R7","Utrn",334,12.55262019,12.69664661,15.75312004,16.39260763,16.01605422,16.13458486,15.04781194,16.47078843,16.64154209,16.37875686,0.871647374,0.06063314,0.871647374,0.932885896,NA,0.596591738965595,"NS","E9Q6R7"
"164","E9Q7G0","Numa1",567,12.43051737,12.33908792,14.76125707,14.86709761,15.17805336,14.90041715,14.25212464,15.06263419,14.89623947,14.7892935,0.365956033,-0.176633348,0.365956033,0.606969782,NA,4.36571088847341,"NS","E9Q7G0"
"165","E9Q7L0","Ogdhl",1588,11.18295973,13.57775189,14.54216524,15.89631684,14.89037618,15.46974125,12.32786779,13.66312954,13.40640198,12.9497364,0.009449637,-2.112865952,0.009449637,0.131329092,NA,20.2458487423411,"INT","E9Q7L0"
"166","E9Q8I9","Fry",572,12.68016781,13.15492103,15.72073123,16.48505884,16.01720647,16.2880534,14.89014359,16.51090321,16.27590624,16.11356918,0.649364873,-0.180131929,0.649364873,0.807372039,NA,1.87511207971914,"NS","E9Q8I9"
"167","E9QA15",NA,30,11.17365348,11.75691509,13.95101145,13.89320671,13.52894756,14.0987832,13.85683684,15.39384116,15.5447347,15.32109034,0.022140085,1.16113853,0.022140085,0.156394844,NA,16.5482071611492,"POS","E9QA15"
"168","F6QL70",NA,661,14.06659378,13.42547819,16.06816947,16.38729374,16.20357742,15.83770184,15.38636774,16.20315679,15.49066288,16.43428615,0.42432034,-0.245567226,0.42432034,0.651877619,NA,3.72306149619106,"NS","F6QL70"
"169","F6RSK3",NA,703,14.65485975,14.90449351,17.56115367,17.21835511,17.4166656,16.37478479,16.35901169,17.17660172,16.56164595,17.30144261,0.402045157,-0.293064302,0.402045157,0.634687851,NA,3.9572516498887,"NS","F6RSK3"
"170","F6SVV1",NA,858,14.96830679,15.48491728,16.68692678,17.37994822,16.69164603,17.0399188,15.39422438,17.35551005,16.94544761,16.5074852,0.385833098,-0.398943148,0.385833098,0.621450544,NA,4.13600519921246,"NS","F6SVV1"
"171","F6TVX7",NA,1178,10.20567109,12.97006993,14.17734167,14.88063579,14.2948361,15.23204611,12.58726184,14.38539059,13.60026139,15.1548972,0.381238488,-0.714262163,0.381238488,0.618942963,NA,4.18803261543019,"NS","F6TVX7"
"172","F6U473",NA,1329,12.74986943,13.79075575,16.03924037,16.92300243,16.43771957,16.39493155,14.20564054,16.1418477,15.7607979,15.58634137,0.065007187,-1.025066601,0.065007187,0.257814392,NA,11.870386264049,"NS_INT","F6U473"
"173","F6Y363",NA,191,15.64078155,15.16026538,16.49357404,15.87505337,16.09257134,16.64962107,16.31583946,16.93341404,17.11685158,15.98730843,0.347188841,0.310648423,0.347188841,0.589999829,NA,4.594342419345,"NS","F6Y363"
"174","F6YH22",NA,661,14.06659378,13.42547819,16.06816947,16.38729374,16.20357742,15.83770184,15.38636774,16.20315679,15.49066288,16.43428615,0.42432034,-0.245567226,0.42432034,0.651877619,NA,3.72306149619106,"NS","F6YH22"
"175","F6YVP7",NA,1345,12.99162813,13.37000622,14.76264157,16.28767631,15.04379629,15.40610533,13.54133866,14.7934509,14.69827058,14.24220651,0.037156382,-1.056238213,0.037156382,0.193498091,NA,14.299665808445,"INT","F6YVP7"
"176","F6ZDS4","Tpr",986,12.00958767,11.90989332,14.82717309,15.14770939,14.99681767,14.90956501,13.5272059,14.90626799,14.77083222,14.55511624,0.117213154,-0.530460703,0.117213154,0.338715084,NA,9.31023647796985,"NS","F6ZDS4"
"177","F8VPN3",NA,417,15.8948888,16.41174268,16.79461893,16.97275547,16.76201862,17.19700547,16.803223,16.74884799,17.4602799,16.56483423,0.873255072,-0.037303342,0.873255072,0.933491433,NA,0.588588832337279,"NS","F8VPN3"
"178","F8VPN4","Agl",1105,10.40886044,10.56843119,13.3693247,14.28402881,13.63911456,13.53661149,12.60617384,13.77107674,13.05756873,12.85254902,0.070801862,-0.635427807,0.070801862,0.272829872,NA,11.4995532076091,"NS","F8VPN4"
"179","F8VPU2","Farp1",1225,12.0971258,12.84522547,15.07199238,15.34710198,14.96883193,14.78227505,13.58902161,14.85143896,14.4501762,14.17309195,0.037648351,-0.776618157,0.037648351,0.193586159,NA,14.242540411707,"NS","F8VPU2"
"180","G3UW82","Myh2",406,13.56700537,11.02631595,12.65602257,12.68682877,11.84439193,13.24929126,11.72297825,12.41827429,12.26194798,13.9030345,0.964137707,-0.032574874,0.964137707,0.981601788,NA,0.1586093174132,"NS","G3UW82"
"181","G3UWD7",NA,227,15.60923646,14.45455634,17.27221059,17.12615997,17.10359517,17.12222135,16.71946904,17.72660401,17.31831331,17.72187353,0.511803478,0.215518203,0.511803478,0.719172128,NA,2.90896767157165,"NS","G3UWD7"
"182","G3UXD1","Speer4c",351,15.51289475,14.99355761,17.37075551,17.31707692,17.51922159,16.90512842,16.79842117,17.59754339,17.48329621,17.38169503,0.874503938,0.037193342,0.874503938,0.933491433,NA,0.582382304988335,"NS","G3UXD1"
"183","G3X972","Sec24c",773,13.59793615,12.93785194,14.58877319,15.24216928,14.77288156,15.32748247,13.96578428,14.86785786,14.55626654,15.16345313,0.310583925,-0.344486169,0.310583925,0.558160747,NA,5.07821025956011,"NS","G3X972"
"184","G3X9I7","Zc3h12b",815,9.772034091,13.04229207,14.2193198,14.38066398,14.03771853,13.81287922,13.00191833,14.22415245,14.30634655,13.42862189,0.60765764,-0.372385581,0.60765764,0.777458362,NA,2.16341037398708,"NS","G3X9I7"
"185","G3X9K3","Arfgef1",556,13.46135154,13.54411923,13.78187194,13.8591465,13.74230944,13.98601977,13.1337202,13.94754563,13.94599242,13.67253584,0.395442613,-0.167388389,0.395442613,0.627661486,NA,4.02916532812979,"NS","G3X9K3"
"186","G3XA57","Rab11fip2",863,10.39542703,10.99173441,13.58320032,13.9674064,13.55842071,13.39097501,12.38540407,13.83397716,13.45121111,13.22836778,0.258486807,-0.40026058,0.258486807,0.513034195,NA,5.87561618114781,"NS","G3XA57"
"187","G5E8K5","Ank3",1319,8.745844,11.93191939,15.11731843,16.07800483,15.45718847,15.39063921,13.31854281,15.04742217,15.01872179,14.80004042,0.080849745,-0.964605937,0.080849745,0.288369986,NA,10.923213455197,"NS_INT","G5E8K5"
"188","I3ITR1",NA,1566,13.19658676,14.13651056,16.21232539,17.41740754,16.6499017,16.64244662,13.43123641,15.54963428,15.20403615,14.95101145,0.007377992,-1.946540737,0.007377992,0.131329092,NA,21.3206182001701,"INT","I3ITR1"
"189","J3QN38",NA,725,11.776762,11.78353032,15.0110525,16.37592183,15.21097568,15.17761419,14.21477445,16.03797586,14.91204727,15.3944292,0.529585252,-0.304084358,0.529585252,0.73216621,NA,2.76064117722816,"NS","J3QN38"
"190","J3QNY1",NA,328,13.89613818,13.14745231,15.34099869,16.38913465,15.43451814,15.68838692,14.85141206,16.35439876,16.10598682,15.83619167,0.859446452,0.073737723,0.859446452,0.924075011,NA,0.657811769471144,"NS","J3QNY1"
"191","K7N6A0","Gm10354",351,15.51289475,14.99355761,17.37075551,17.31707692,17.51922159,16.90512842,16.79842117,17.59754339,17.48329621,17.38169503,0.874503938,0.037193342,0.874503938,0.933491433,NA,0.582382304988335,"NS","K7N6A0"
"192","K7N6S8","Speer4e",351,15.51289475,14.99355761,17.37075551,17.31707692,17.51922159,16.90512842,16.79842117,17.59754339,17.48329621,17.38169503,0.874503938,0.037193342,0.874503938,0.933491433,NA,0.582382304988335,"NS","K7N6S8"
"193","K7N6W5","Gm17019",351,15.51289475,14.99355761,17.37075551,17.31707692,17.51922159,16.90512842,16.79842117,17.59754339,17.48329621,17.38169503,0.874503938,0.037193342,0.874503938,0.933491433,NA,0.582382304988335,"NS","K7N6W5"
"194","L7N216","Speer4d",351,15.51289475,14.99355761,17.37075551,17.31707692,17.51922159,16.90512842,16.79842117,17.59754339,17.48329621,17.38169503,0.874503938,0.037193342,0.874503938,0.933491433,NA,0.582382304988335,"NS","L7N216"
