"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005903","GO:0005903","brush border","1/33","284/31010",0.261973114660771,0.307483848150724,0.180328873351553,"Q8BTM8",1
"GO:0030018","GO:0030018","Z disc","1/33","286/31010",0.263557584129192,0.307483848150724,0.180328873351553,"Q8BTM8",1
"GO:0036064","GO:0036064","ciliary basal body","1/33","294/31010",0.269862540182265,0.312237649797662,0.183116817174569,"Q70FJ1",1
"GO:0031674","GO:0031674","I band","1/33","311/31010",0.283087254878555,0.324854226909817,0.190516012774178,"Q8BTM8",1
"GO:0098802","GO:0098802","plasma membrane signaling receptor complex","1/33","328/31010",0.296079565982684,0.336845081743934,0.197548243428773,"P48025",1
"GO:0005925","GO:0005925","focal adhesion","1/33","331/31010",0.298348500973199,0.336845081743934,0.197548243428773,"P70429",1
"GO:0031256","GO:0031256","leading edge membrane","1/33","343/31010",0.307353530474237,0.344235954131146,0.201882740016762,"Q9Z0P4",1
"GO:0000775","GO:0000775","chromosome, centromeric region","1/33","347/31010",0.310330225961503,0.344811362179447,0.202220197368398,"Q9QZQ8",1
"GO:0030055","GO:0030055","cell-substrate junction","1/33","358/31010",0.31845231803686,0.351049799410712,0.205878829729591,"P70429",1
"GO:0000228","GO:0000228","nuclear chromosome","1/33","375/31010",0.330822503853651,0.36183711358993,0.212205224511388,"Q9QZQ8",1
"GO:0000139","GO:0000139","Golgi membrane","1/33","409/31010",0.354913082892355,0.385176989185502,0.225893271853151,"Q05421",1
"GO:0043197","GO:0043197","dendritic spine","1/33","426/31010",0.366640851151274,0.392167744704091,0.229993113435482,"Q9Z0P4",1
"GO:0044309","GO:0044309","neuron spine","1/33","433/31010",0.371409602271695,0.392167744704091,0.229993113435482,"Q9Z0P4",1
"GO:0036464","GO:0036464","cytoplasmic ribonucleoprotein granule","1/33","435/31010",0.3727656953054,0.392167744704091,0.229993113435482,"P60710",1
"GO:0031965","GO:0031965","nuclear membrane","1/33","440/31010",0.376143528124073,0.392167744704091,0.229993113435482,"Q8C5W0",1
"GO:0030017","GO:0030017","sarcomere","1/33","441/31010",0.376816974757108,0.392167744704091,0.229993113435482,"Q8BTM8",1
"GO:0030426","GO:0030426","growth cone","1/33","443/31010",0.378161753821802,0.392167744704091,0.229993113435482,"Q8BTM8",1
"GO:0030427","GO:0030427","site of polarized growth","1/33","455/31010",0.386171529888325,0.392945563982001,0.230449278124783,"Q8BTM8",1
"GO:0000793","GO:0000793","condensed chromosome","1/33","459/31010",0.388819153982035,0.392945563982001,0.230449278124783,"Q9QZQ8",1
"GO:0016323","GO:0016323","basolateral plasma membrane","1/33","461/31010",0.390138809953559,0.392945563982001,0.230449278124783,"Q9Z0P4",1
"GO:0034703","GO:0034703","cation channel complex","1/33","461/31010",0.390138809953559,0.392945563982001,0.230449278124783,"Q70FJ1",1
"GO:0035770","GO:0035770","ribonucleoprotein granule","1/33","470/31010",0.3960431477513,0.3960431477513,0.232265906200011,"P60710",1
